Nome da Empresa	Valor total adquirido	Valor Empenhado
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$40,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$400,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$1.052,96
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$10.952,00
GERAES DIAGNOSTICA LTDA.	R$2.027,91	R$260,00
GERAES DIAGNOSTICA LTDA.	R$2.027,91	R$642,28
GERAES DIAGNOSTICA LTDA.	R$2.027,91	R$345,00
GERAES DIAGNOSTICA LTDA.	R$2.027,91	R$294,67
GERAES DIAGNOSTICA LTDA.	R$2.027,91	R$485,96
SCIAVICCO COMERCIO INDUSTRIA LTDA.	R$1.298,40	R$150,00
SCIAVICCO COMERCIO INDUSTRIA LTDA.	R$1.298,40	R$120,00
SCIAVICCO COMERCIO INDUSTRIA LTDA.	R$1.298,40	R$182,68
SCIAVICCO COMERCIO INDUSTRIA LTDA.	R$1.298,40	R$190,72
SCIAVICCO COMERCIO INDUSTRIA LTDA.	R$1.298,40	R$135,00
SCIAVICCO COMERCIO INDUSTRIA LTDA.	R$1.298,40	R$400,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$5.194,95
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$1.038,99
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$401,73
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$1.679,76
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$560,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$1.760,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$676,68
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$35,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$101,98
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$203,70
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$220,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$139,95
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$1.051,96
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$122,40
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$122,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$370,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$480,56
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$150,00
M A 2 COMERCIAL LTDA. - ME	R$14.806,01	R$496,35
FOX SCIENCE COMERCIO & PRODUTOS LTDA.	R$2.000,00	R$2.000,00
FOX SCIENCE COMERCIO & PRODUTOS LTDA.	R$2.000,00	R$ -
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$2.838,94
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$666,00
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$1.755,00
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$479,04
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$2.380,00
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$5.452,00
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$3.727,92
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$1.363,00
HALOGENN PRODUTOS CIENTIFICOS LTDA.	R$19.387,90	R$726,00
ORBITAL PRODUTOS PARA LABORATORIOS LTDA.	R$850,00	R$199,00
ORBITAL PRODUTOS PARA LABORATORIOS LTDA.	R$850,00	R$651,00
FONTES E ARAUJO LTDA	R$24.250,00	R$9.300,00
FONTES E ARAUJO LTDA	R$24.250,00	R$5.000,00
FONTES E ARAUJO LTDA	R$24.250,00	R$9.950,00
K.C.R.S. COMERCIO DE EQUIPAMENTOS LTDA	R$6.780,00	R$4.380,00
K.C.R.S. COMERCIO DE EQUIPAMENTOS LTDA	R$6.780,00	R$2.400,00
A ECONÔMICA COMÉRCIO LTDA	R$57.400,00	R$57.400,00
BT COMÉRCIO INTELIGENTE LTDA	R$7.002,20	R$7.002,20
REDNOV FERRAMENTAS LTDA	R$80.909,90	R$10.627,20
REDNOV FERRAMENTAS LTDA	R$80.909,90	R$60.379,20
REDNOV FERRAMENTAS LTDA	R$80.909,90	R$3.885,60
REDNOV FERRAMENTAS LTDA	R$80.909,90	R$349,80
REDNOV FERRAMENTAS LTDA	R$80.909,90	R$5.668,10
DANTAS ELETROMOVEIS E EQUIPAMENTOS LTDA	R$13.997,70	R$3.247,90
DANTAS ELETROMOVEIS E EQUIPAMENTOS LTDA	R$13.997,70	R$10.749,80
GWC INDUSTRIA, IMPORTACAO E DISTRIBUICAO DE ELETRONICOS LTDA	R$0,00	R$1.432,40
GWC INDUSTRIA, IMPORTACAO E DISTRIBUICAO DE ELETRONICOS LTDA	R$0,00	R$15.481,80
GWC INDUSTRIA, IMPORTACAO E DISTRIBUICAO DE ELETRONICOS LTDA	R$0,00	R$18.062,10
K J DE M ANDRADE LTDA	R$54.630,00	R$36.420,00
K J DE M ANDRADE LTDA	R$54.630,00	R$18.210,00
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$1.851,50
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$13.146,64
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$1.262,27
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$3.199,40
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$4.566,42
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$4.299,90
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$1.340,67
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$3.166,00
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$3.749,90
AMBARLAB PRODUTOS LABORATORIAIS	R$37.682,70	R$1.100,00
Noroeste Comércio e Prestação De Serviços ltda.	R$3.980,00	R$3.980,00
Noroeste Comércio e Prestação De Serviços ltda.	R$3.980,00	R$ -
OBAH PRODUTOS E SERVICOS ANALITICOS LTDA	R$6.996,00	R$ -
OBAH PRODUTOS E SERVICOS ANALITICOS LTDA	R$6.996,00	R$6.996,00
Comercial Vanguardeira Eireli	R$482,28	R$482,28
Comercial Vanguardeira Eireli	R$482,28	R$ -
F C Nicolau Equipamentos para Laboratório Ltda – ME	R$5.908,00	R$5.908,00
